"spkid","full_name"
20000244,"   244 Sita (A884 TA)"
20000245,"   245 Vera (A885 CA)"
20000246,"   246 Asporina (A885 EA)"
20000247,"   247 Eukrate (A885 EB)"
20000248,"   248 Lameia (A885 LA)"
20000249,"   249 Ilse (A885 QA)"
20000250,"   250 Bettina (A885 RA)"
20000251,"   251 Sophia (A885 TA)"
20000252,"   252 Clementina (A885 TB)"
20000253,"   253 Mathilde (A885 VA)"
20000254,"   254 Augusta (A886 FA)"
20000255,"   255 Oppavia (A886 FB)"
20000256,"   256 Walpurga (A886 GA)"
20000257,"   257 Silesia (A886 GB)"
20000258,"   258 Tyche (A886 JA)"
20000259,"   259 Aletheia (A886 MA)"
20000260,"   260 Huberta (A886 TA)"
20000261,"   261 Prymno (A886 UA)"
20000262,"   262 Valda (A886 VA)"
20000263,"   263 Dresda (A886 VB)"
20000264,"   264 Libussa (A886 YA)"
20000265,"   265 Anna (A887 DA)"
20000266,"   266 Aline (A887 KA)"
20000267,"   267 Tirza (A887 KB)"
20000268,"   268 Adorea (A887 LA)"
20000269,"   269 Justitia (A887 SA)"
20000270,"   270 Anahita (A887 TA)"
20000271,"   271 Penthesilea (A887 TB)"
20000272,"   272 Antonia (A888 CA)"
20000273,"   273 Atropos (A888 EA)"
20000274,"   274 Philagoria (A888 GA)"
20000275,"   275 Sapientia (A888 GB)"
20000276,"   276 Adelheid (A888 HA)"
20000277,"   277 Elvira (A888 JA)"
20000278,"   278 Paulina (A888 KA)"
20000279,"   279 Thule (A888 UA)"
20000280,"   280 Philia (A888 UB)"
20000281,"   281 Lucretia (A888 UC)"
20000282,"   282 Clorinde (A889 BA)"
20000283,"   283 Emma (A889 CA)"
20000284,"   284 Amalia (A889 KA)"
20000285,"   285 Regina (A889 PA)"
20000286,"   286 Iclea (A889 PB)"
20000287,"   287 Nephthys (A889 QA)"
20000288,"   288 Glauke (A890 DA)"
20000289,"   289 Nenetta (A890 EA)"
20000291,"   291 Alice (A890 HA)"
20000292,"   292 Ludovica (A890 HB)"
20000293,"   293 Brasilia (A890 KA)"
20000294,"   294 Felicia (A890 NA)"
20000295,"   295 Theresia (A890 QA)"
20000297,"   297 Caecilia (A890 RA)"
20000298,"   298 Baptistina (A890 RB)"
20000299,"   299 Thora (A890 TA)"
20000300,"   300 Geraldina (A890 TB)"
20000301,"   301 Bavaria (A890 WA)"
20000302,"   302 Clarissa (A890 VA)"
20000303,"   303 Josephina (A891 CA)"
20000304,"   304 Olga (A891 CB)"
20000305,"   305 Gordonia (A891 DA)"
20000306,"   306 Unitas (A891 EA)"
20000307,"   307 Nike (A891 EB)"
20000308,"   308 Polyxo (A891 FA)"
20000309,"   309 Fraternitas (A891 GA)"
20000310,"   310 Margarita (A891 KA)"
20000311,"   311 Claudia (A891 LA)"
20000312,"   312 Pierretta (A891 QA)"
20000313,"   313 Chaldaea (A891 QB)"
20000314,"   314 Rosalia (A891 RA)"
20000316,"   316 Goberta (A891 RC)"
20000317,"   317 Roxane (A891 RD)"
20000318,"   318 Magdalena (A891 SA)"
20000319,"   319 Leona (A891 TA)"
20000320,"   320 Katharina (A891 TB)"
20000321,"   321 Florentina (A891 TC)"
20000322,"   322 Phaeo (A891 WB)"
20000323,"   323 Brucia (A891 YB)"
20000324,"   324 Bamberga (A892 DA)"
20000325,"   325 Heidelberga (A892 EA)"
20000326,"   326 Tamara (A892 FD)"
20000327,"   327 Columbia (A892 FE)"
20000328,"   328 Gudrun (A892 FF)"
20000329,"   329 Svea (A892 FG)"
20000331,"   331 Etheridgea (A892 GA)"
20000332,"   332 Siri (A892 FH)"
20000333,"   333 Badenia (A892 QA)"
20000334,"   334 Chicago (A892 QB)"
20000335,"   335 Roberta (A892 RB)"
20000336,"   336 Lacadiera (A892 SA)"
20000337,"   337 Devosa (A892 SB)"
20000338,"   338 Budrosa (A892 SF)"
20000339,"   339 Dorothea (A892 SC)"
20000340,"   340 Eduarda (A892 SD)"
20000341,"   341 California (A892 SE)"
20000342,"   342 Endymion (A892 UA)"
20000343,"   343 Ostara (A892 VA)"
20000344,"   344 Desiderata (A892 WA)"
20000345,"   345 Tercidina (A892 WB)"
20000346,"   346 Hermentaria (A892 WC)"
20000347,"   347 Pariana (A892 WD)"
20000348,"   348 May (A892 WE)"
20000349,"   349 Dembowska (A892 XB)"
20000350,"   350 Ornamenta (A892 XC)"
20000351,"   351 Yrsa (A892 YA)"
20000352,"   352 Gisela (A893 AB)"
20000353,"   353 Ruperto-Carola (A893 BB)"
20000354,"   354 Eleonora (A893 BC)"
20000355,"   355 Gabriella (A893 BD)"
20000356,"   356 Liguria (A893 BE)"
20000357,"   357 Ninina (A893 CB)"
20000358,"   358 Apollonia (A893 EC)"
20000359,"   359 Georgia (A893 ED)"
20000360,"   360 Carlova (A893 EE)"
20000361,"   361 Bononia (A893 EF)"
20000362,"   362 Havnia (A893 EG)"
20000363,"   363 Padua (A893 FD)"
20000364,"   364 Isara (A893 FE)"
20000365,"   365 Corduba (A893 FF)"
20000366,"   366 Vincentina (A893 FG)"
20000367,"   367 Amicitia (A893 KB)"
20000368,"   368 Haidea (A893 KC)"
20000369,"   369 Aeria (A893 NA)"
20000370,"   370 Modestia (A893 NB)"
20000371,"   371 Bohemia (A893 OA)"
20000372,"   372 Palma (A893 QB)"
20000373,"   373 Melusina (A893 RA)"
20000374,"   374 Burgundia (A893 SA)"
20000375,"   375 Ursula (A893 SB)"
20000376,"   376 Geometria (A893 SC)"
20000377,"   377 Campania (A893 SD)"
20000378,"   378 Holmia (A893 XA)"
20000379,"   379 Huenna (A894 AA)"
20000380,"   380 Fiducia (A894 AB)"
20000381,"   381 Myrrha (A894 AC)"
20000382,"   382 Dodona (A894 BB)"
20000383,"   383 Janina (A894 BC)"
20000384,"   384 Burdigala (A894 CA)"
20000385,"   385 Ilmatar (A894 EA)"
20000386,"   386 Siegena (A894 EB)"
20000387,"   387 Aquitania (A894 EC)"
20000388,"   388 Charybdis (A894 ED)"
20000389,"   389 Industria (A894 EE)"
20000390,"   390 Alma (A894 FA)"
20000391,"   391 Ingeborg (A894 VB)"
20000392,"   392 Wilhelmina (A894 VD)"
20000393,"   393 Lampetia (A894 VC)"
20000394,"   394 Arduina (A894 WB)"
20000395,"   395 Delia (A894 WC)"
20000396,"   396 Aeolia (A894 XA)"
20000397,"   397 Vienna (A894 YA)"
20000398,"   398 Admete (A894 YB)"
20000399,"   399 Persephone (A895 DD)"
20000400,"   400 Ducrosa (A895 EC)"
20000401,"   401 Ottilia (A895 FA)"
20000402,"   402 Chloe (A895 FB)"
20000403,"   403 Cyane (A895 KA)"
20000404,"   404 Arsinoe (A895 MA)"
20000405,"   405 Thia (A895 OB)"
20000406,"   406 Erna (A895 QA)"
20000407,"   407 Arachne (A895 TB)"
20000408,"   408 Fama (A917 RB)"
20000409,"   409 Aspasia (A895 XC)"
20000410,"   410 Chloris (A896 AC)"
20000411,"   411 Xanthe (A896 AD)"
20000412,"   412 Elisabetha (A896 AB)"
20000413,"   413 Edburga (A896 AA)"
20000414,"   414 Liriope (A896 BB)"
20000415,"   415 Palatia (A896 CA)"
20000416,"   416 Vaticana (A896 JA)"
20000417,"   417 Suevia (A896 JB)"
20000418,"   418 Alemannia (A896 RD)"
20000419,"   419 Aurelia (A896 RF)"
20000420,"   420 Bertholda (A896 RC)"
20000421,"   421 Zahringia (A896 RE)"
20000422,"   422 Berolina (A896 TA)"
20000423,"   423 Diotima (A896 XA)"
20000424,"   424 Gratia (A896 YD)"
20000425,"   425 Cornelia (A896 YC)"
20000426,"   426 Hippo (A897 RA)"
20000427,"   427 Galene (A897 RB)"
20000428,"   428 Monachia (A897 WA)"
20000429,"   429 Lotis (A897 WB)"
20000430,"   430 Hybris (A897 YA)"
20000431,"   431 Nephele (A897 YB)"
20000432,"   432 Pythia (A897 YC)"
20000433,"   433 Eros (A898 PA)"
20000435,"   435 Ella (A898 RA)"
20000436,"   436 Patricia (A898 RC)"
20000437,"   437 Rhodia (A898 OA)"
20000438,"   438 Zeuxo (A898 VG)"
20000439,"   439 Ohio (A898 TA)"
20000440,"   440 Theodora (A898 TB)"
20000441,"   441 Bathilde (A898 XA)"
20000442,"   442 Eichsfeldia (A899 CA)"
20000443,"   443 Photographica (A899 DA)"
20000444,"   444 Gyptis (A899 FA)"
20000445,"   445 Edna (A899 TC)"
20000446,"   446 Aeternitas (A899 UB)"
20000447,"   447 Valentine (A899 UD)"
20000448,"   448 Natalie (A899 UC)"
20000449,"   449 Hamburga (A899 UE)"
20000450,"   450 Brigitta (A899 VB)"
20000451,"   451 Patientia (A899 XA)"
20000452,"   452 Hamiltonia (A899 XB)"
20000453,"   453 Tea (A900 DD)"
20000454,"   454 Mathesis (A900 FB)"
20000455,"   455 Bruchsalia (A900 KC)"
20000456,"   456 Abnoba (A900 LA)"
20000457,"   457 Alleghenia (A900 RA)"
20000458,"   458 Hercynia (A900 SD)"
20000459,"   459 Signe (A900 UH)"
20000460,"   460 Scania (A900 UF)"
20000461,"   461 Saskia (A900 UG)"
20000462,"   462 Eriphyla (A900 UJ)"
20000463,"   463 Lola (A900 UK)"
20000464,"   464 Megaira (A901 AB)"
20000465,"   465 Alekto (A901 AC)"
20000466,"   466 Tisiphone (A901 BB)"
20000467,"   467 Laura (A901 AA)"
20000468,"   468 Lina (A901 BC)"
20000469,"   469 Argentina (A901 DC)"
20000470,"   470 Kilia (A901 HC)"
20000471,"   471 Papagena (A901 LA)"
20000472,"   472 Roma (A901 NA)"
20000473,"   473 Nolli (A901 CB)"
20000474,"   474 Prudentia (A901 CC)"
20000475,"   475 Ocllo (A901 PA)"
20000476,"   476 Hedwig (A901 QB)"
20000477,"   477 Italia (A901 QC)"
20000478,"   478 Tergeste (A901 SC)"
20000479,"   479 Caprera (A901 VK)"
20000480,"   480 Hansa (A901 KB)"
20000481,"   481 Emita (A902 CB)"
20000482,"   482 Petrina (A902 EH)"
20000483,"   483 Seppina (A902 EJ)"
20000484,"   484 Pittsburghia (A902 HA)"
20000485,"   485 Genua (A902 JC)"
20000486,"   486 Cremona (A902 JD)"
20000487,"   487 Venetia (A902 NC)"
20000488,"   488 Kreusa (A902 MC)"
20000489,"   489 Comacina (A902 RD)"
20000490,"   490 Veritas (A902 RE)"
20000491,"   491 Carina (A902 RG)"
20000492,"   492 Gismonda (A902 RF)"
20000493,"   493 Griseldis (A902 RH)"
20000494,"   494 Virtus (A902 TF)"
20000495,"   495 Eulalia (A902 UL)"
20000496,"   496 Gryphia (A902 UM)"
20000497,"   497 Iva (A902 VB)"
20000498,"   498 Tokio (A902 XA)"
20000499,"   499 Venusia (A902 YE)"
20000500,"   500 Selinur (A903 BJ)"
20000501,"   501 Urhixidur (A903 BK)"
20000502,"   502 Sigune (A903 BM)"
20000503,"   503 Evelyn (A903 BL)"
20000504,"   504 Cora (A902 NB)"
20000505,"   505 Cava (A902 QA)"
20000506,"   506 Marion (A903 DB)"
20000507,"   507 Laodica (A903 DC)"
20000508,"   508 Princetonia (A903 HC)"
20000509,"   509 Iolanda (A903 HD)"
20000510,"   510 Mabella (A903 KA)"
20000511,"   511 Davida (A903 KB)"
20000512,"   512 Taurinensis (A903 MC)"
20000513,"   513 Centesima (A916 BC)"
20000514,"   514 Armida (A903 QC)"
20000515,"   515 Athalia (A903 SH)"
20000516,"   516 Amherstia (A903 SG)"
20000517,"   517 Edith (A903 SK)"
20000518,"   518 Halawe (A915 TP)"
20000519,"   519 Sylvania (A903 UJ)"
20000520,"   520 Franziska (A903 UK)"
20000521,"   521 Brixia (A904 AE)"
20000522,"   522 Helga (A904 AF)"
20000523,"   523 Ada (A904 BA)"
20000524,"   524 Fidelio (A904 ED)"
20000526,"   526 Jena (A904 EE)"
20000527,"   527 Euryanthe (A904 FC)"
20000528,"   528 Rezia (A904 FA)"
20000529,"   529 Preziosa (A904 FB)"
20000530,"   530 Turandot (A904 GB)"
20000531,"   531 Zerlina (A904 GC)"
20000532,"   532 Herculina (A904 HE)"
20000533,"   533 Sara (A904 HC)"
20000534,"   534 Nassovia (A904 HD)"
20000535,"   535 Montague (A904 JE)"
20000536,"   536 Merapi (A904 JF)"
20000537,"   537 Pauly (A904 NB)"
20000538,"   538 Friederike (A904 OA)"
20000539,"   539 Pamina (A904 PD)"
20000540,"   540 Rosamunde (A904 PE)"
20000541,"   541 Deborah (A904 PF)"
20000542,"   542 Susanna (A904 QA)"
20000543,"   543 Charlotte (A904 RG)"
20000544,"   544 Jetta (A904 RH)"
20000545,"   545 Messalina (A904 TC)"
20000546,"   546 Herodias (A904 TD)"
20000547,"   547 Praxedis (A904 TE)"
20000548,"   548 Kressida (A904 TF)"
20000549,"   549 Jessonda (A904 WA)"
20000550,"   550 Senta (A904 WB)"
20000551,"   551 Ortrud (A904 WC)"
20000552,"   552 Sigelinde (A904 XB)"
20000554,"   554 Peraga (A905 AE)"
20000555,"   555 Norma (A905 AF)"
20000556,"   556 Phyllis (A905 AD)"
20000557,"   557 Violetta (A905 BD)"
20000558,"   558 Carmen (A905 CK)"
20000559,"   559 Nanon (A905 EB)"
20000560,"   560 Delila (A905 EC)"
20000561,"   561 Ingwelde (A905 FC)"
20000562,"   562 Salome (A905 GC)"
20000563,"   563 Suleika (A905 GD)"
20000564,"   564 Dudu (A905 JD)"
20000565,"   565 Marbachia (A905 JE)"
20000566,"   566 Stereoskopia (A905 KA)"
20000567,"   567 Eleutheria (A905 KB)"
20000568,"   568 Cheruskia (A905 OD)"
20000569,"   569 Misa (A905 OE)"
20000570,"   570 Kythera (A905 OF)"
20000571,"   571 Dulcinea (A905 RA)"
20000572,"   572 Rebekka (A905 SF)"
20000573,"   573 Recha (A905 SG)"
20000575,"   575 Renate (A905 SJ)"
20000576,"   576 Emanuela (A905 SK)"
20000577,"   577 Rhea (A905 UR)"
20000578,"   578 Happelia (A905 VJ)"
20000579,"   579 Sidonia (A905 VK)"
20000580,"   580 Selene (A905 YB)"
20000581,"   581 Tauntonia (A905 YC)"
20000582,"   582 Olympia (A906 BM)"
20000583,"   583 Klotilde (A905 YD)"
20000584,"   584 Semiramis (A906 AC)"
20000585,"   585 Bilkis (A906 DF)"
20000586,"   586 Thekla (A906 DK)"
20000587,"   587 Hypsipyle (A906 DM)"
20000588,"   588 Achilles (A906 DN)"
20000589,"   589 Croatia (A906 EC)"
20000590,"   590 Tomyris (A906 ED)"
20000591,"   591 Irmgard (A906 EE)"
20000592,"   592 Bathseba (A916 BB)"
20000593,"   593 Titania (A906 FK)"
20000595,"   595 Polyxena (A906 FL)"
20000596,"   596 Scheila (A906 DL)"
20000597,"   597 Bandusia (A906 HE)"
20000598,"   598 Octavia (A906 GC)"
20000599,"   599 Luisa (A906 HF)"
20000600,"   600 Musa (A906 LA)"
20000601,"   601 Nerthus (A906 MC)"
20000602,"   602 Marianna (A906 DJ)"
20000603,"   603 Timandra (A906 DG)"
20000604,"   604 Tekmessa (A906 DH)"
20000605,"   605 Juvisia (A906 QJ)"
20000606,"   606 Brangane (A906 SK)"
20000607,"   607 Jenny (A906 SH)"
20000608,"   608 Adolfine (A916 OH)"
20000609,"   609 Fulvia (A906 SL)"
20000610,"   610 Valeska (A906 SN)"
20000611,"   611 Valeria (A906 SM)"
20000612,"   612 Veronika (A906 TC)"
20000613,"   613 Ginevra (A906 TD)"
20000614,"   614 Pia (A906 TE)"
20000615,"   615 Roswitha (A906 TF)"
20000616,"   616 Elly (A906 UK)"
20000617,"   617 Patroclus (A906 UL)"
20000618,"   618 Elfriede (A906 UM)"
20000619,"   619 Triberga (A906 UN)"
20000620,"   620 Drakonia (A906 UO)"
20000621,"   621 Werdandi (A906 VM)"
20000622,"   622 Esther (A906 VN)"
20000623,"   623 Chimaera (A907 BC)"
20000624,"   624 Hektor (A907 CF)"
20000625,"   625 Xenia (A907 CG)"
20000626,"   626 Notburga (A907 CH)"
20000627,"   627 Charis (A907 EJ)"
20000628,"   628 Christine (A907 EK)"
20000629,"   629 Bernardina (A907 EL)"
20000630,"   630 Euphemia (A907 EM)"
20000631,"   631 Philippina (A907 FD)"
20000632,"   632 Pyrrha (A907 GY)"
20000633,"   633 Zelima (A907 JH)"
20000634,"   634 Ute (A907 JJ)"
20000635,"   635 Vundtia (A907 LA)"
20000636,"   636 Erika (A907 CE)"
20000637,"   637 Chrysothemis (A907 EN)"
20000638,"   638 Moira (A917 RC)"
20000639,"   639 Latona (A907 OA)"
20000640,"   640 Brambilla (A907 QA)"
20000642,"   642 Clara (A907 RJ)"
20000643,"   643 Scheherezade (A907 RK)"
20000644,"   644 Cosima (A907 RG)"
20000645,"   645 Agrippina (A907 RP)"
20000648,"   648 Pippa (A907 RN)"
20000650,"   650 Amalasuntha (A907 TL)"
20000651,"   651 Antikleia (A907 TK)"
20000652,"   652 Jubilatrix (A907 VS)"
20000653,"   653 Berenike (A907 WC)"
20000654,"   654 Zelinda (A908 AM)"
20000655,"   655 Briseis (A907 VT)"
20000656,"   656 Beagle (A917 ST)"
20000657,"   657 Gunlod (A908 BK)"
20000658,"   658 Asteria (A908 BL)"
20000659,"   659 Nestor (A908 FE)"
20000660,"   660 Crescentia (A908 AN)"
20000661,"   661 Cloelia (A908 DD)"
20000662,"   662 Newtonia (A908 FF)"
20000663,"   663 Gerlinde (A908 MB)"
20000664,"   664 Judith (A908 MC)"
20000665,"   665 Sabine (A908 OE)"
20000666,"   666 Desdemona (A908 OG)"
20000667,"   667 Denise (A908 OF)"
20000668,"   668 Dora (A908 OH)"
20000669,"   669 Kypria (A908 QF)"
